Cell_or_Molecular_Dysfunction_AGGREGATED.tsv	497
Biologically_Active_Substance_All_AGGREGATED.tsv	22107
Diseasr_or_Syndrome_All_AGGREGATED.tsv	28185
Pharmacologic_Substance_all_AGGREGATED.tsv	24763
Organic_Chemical_All_AGGREGATED.tsv	48363
Laboratory_or_Test_Result_AGGREGATED.tsv	761
Virus_AGGREGATED.tsv	1792
Gene_or_Genome_AGGREGATED.tsv	31747
Body_All_AGGREGATED.tsv	9076
Clinical_Attribute_AGGREGATED.tsv	1203
Pathologic_Function_AGGREGATED.tsv	3075
Therapeutic_or_Preventive_Procedure_AGGREGATED.tsv	9662
Indicator_Reagent_or_Diagnostic_Aid_AGGREGATED.tsv	2011
Cell_all_AGGREGATED.tsv	4425
Sign_or_Sympton_Aggregated.tsv	2540
pharmcube.tsv	77
Total:	190284
