C0000886	['FN', 'PM', 'PT', 'PT', 'SY', 'CN', 'LA', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PTCS', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY']
C0001216	['SY', 'FN', 'PT', 'PT', 'SY', 'SY', 'FN', 'PT', 'PT', 'SY', 'MH', 'PT', 'PT', 'PT', 'SY', 'SY', 'PM', 'FN', 'PT', 'PT']
C0001280	['PT', 'SY', 'PTCS', 'SY', 'FN', 'PT']
C0002449	['PM', 'PT', 'PT', 'PT', 'PT', 'PT', 'MH', 'SY']
C0003154	['PM', 'PT', 'PT', 'MH', 'PN', 'SY', 'SY', 'PM', 'SY', 'ET', 'SY', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM', 'ET', 'ET', 'PM', 'SY', 'ET', 'SY', 'PM', 'SY', 'ET', 'SY']
C0003273	['PM', 'SY', 'PM', 'ET', 'PT', 'MH', 'SY', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM', 'SY', 'ET', 'SY']
C0003315	['ET', 'SY', 'ET', 'ET', 'PM', 'PT', 'PT', 'SY', 'SY', 'PM', 'PT', 'SY', 'SY', 'SY', 'PT', 'DN', 'DN', 'ET', 'PT', 'PT', 'SY', 'MH', 'PN', 'SY', 'SY', 'SY', 'ET', 'SY', 'SY', 'PM', 'ET', 'PM', 'ET', 'SY', 'ET', 'ET']
C0003649	['PT', 'SY', 'SY', 'ET', 'SY', 'SY', 'PM', 'PT', 'PT', 'SY', 'MH', 'PT', 'SY', 'PM', 'PM', 'PT']
C0004112	['FN', 'SY', 'PM', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'MH', 'PN', 'PT', 'PT', 'PTCS', 'SY', 'SY', 'PM', 'ET', 'ET', 'SY', 'SY', 'PM', 'ET', 'PM', 'PM', 'PM']
C0004461	['FN', 'PT', 'PM', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'MH', 'PT', 'PT', 'SY', 'SY', 'SY']
C0004561	['PT', 'PT', 'PT', 'SY', 'SY', 'PT', 'SY', 'SY', 'PM', 'FN', 'PM', 'PT', 'PT', 'PT', 'PT', 'SY', 'LPDN', 'PM', 'SY', 'SY', 'LA', 'LPDN', 'LPN', 'SY', 'SY', 'SY', 'PM', 'SY', 'SY', 'ET', 'DN', 'ET', 'PT', 'SY', 'SY', 'SY', 'MH', 'PN', 'SY', 'SY', 'PM', 'PM', 'ET', 'PM', 'PM', 'PM', 'CN', 'LPN', 'PM']
C0004827	['SY', 'SY', 'DN', 'PM', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'CN', 'LA', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY']
C0005773	['FN', 'PM', 'PT', 'PT', 'PT', 'PT', 'PT', 'ET', 'MH', 'PN', 'PT', 'PT', 'SY', 'PM', 'ET', 'PM', 'PM', 'PM', 'PM', 'PT', 'PT']
