Cell_or_Molecular_Dysfunction_AGGREGATED.tsv	1177
Biologically_Active_Substance_All_AGGREGATED.tsv	38078
Diseasr_or_Syndrome_All_AGGREGATED.tsv	55246
Pharmacologic_Substance_all_AGGREGATED.tsv	45638
Organic_Chemical_All_AGGREGATED.tsv	91065
Laboratory_or_Test_Result_AGGREGATED.tsv	1372
Virus_AGGREGATED.tsv	4201
Gene_or_Genome_AGGREGATED.tsv	54645
Body_All_AGGREGATED.tsv	15448
Clinical_Attribute_AGGREGATED.tsv	1982
Pathologic_Function_AGGREGATED.tsv	5640
Therapeutic_or_Preventive_Procedure_AGGREGATED.tsv	16925
Indicator_Reagent_or_Diagnostic_Aid_AGGREGATED.tsv	3729
Cell_all_AGGREGATED.tsv	7068
Sign_or_Sympton_Aggregated.tsv	4894
pharmcube.tsv	83
Total:	347191
